Demo,Link,Last View,Total Time,Steps Completed,Percent Complete,Opened CTA,Country
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 19:49,0:07,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 18:46,1:09,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 18:35,3:10,36,0.93,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 18:24,0:14,3,0.2,-,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 18:05,3:28,21,0.3,-,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 17:34,0:15,4,0.06,-,United Kingdom
Functional Skills: How to claim SL&C achievement for learners on Edexcel Online,KB,5/6/25 17:26,0:25,12,0.67,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 17:21,0:09,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 17:16,5:46,50,1,-,Cyprus
Managing Requests LWT Moderation,KB,5/6/25 16:55,0:06,2,0.03,-,United Kingdom
Managing Requests LWT Moderation,KB,5/6/25 17:09,14:42,80,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Logging in & navigating LWA Examination/Moderation,KB,5/6/25 16:49,1:22,17,1,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,United Kingdom
Managing Requests LWT Moderation,KB,5/6/25 16:30,1:43,30,0.38,-,United Kingdom
Managing Requests LWT Moderation,KB,5/6/25 16:22,2:03,25,0.32,-,China
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 16:17,0:04,2,0.14,-,United Kingdom
Managing Requests LWT Moderation,KB,5/6/25 16:12,2:09,33,0.42,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 15:54,0:52,7,0.47,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 15:53,0:25,5,0.34,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 15:45,0:03,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 15:44,1:44,4,0.27,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 15:42,0:06,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 15:37,2:26,50,1,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 15:34,3:11,39,1,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 15:22,0:02,2,0.14,-,United Kingdom
Functional Skills: How to check claim status on Edexcel Online,KB,5/6/25 15:22,1:13,10,1,https://support.pearson.com/uk/s/,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 15:33,12:11,39,0.78,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 15:19,0:46,18,0.36,-,United Kingdom
Viewing Invoices on Edexcel Online,eLearning,5/6/25 15:20,3:16,12,1,https://support.pearson.com/uk/s/,United Kingdom
How to top up BTEC registrations on Edexcel Online,eLearning,5/6/25 15:14,2:56,16,1,https://support.pearson.com/uk/s/,United Kingdom
Logging in & navigating LWA Examination/Moderation,KB,5/6/25 15:11,0:53,14,0.83,-,United Kingdom
How to make bulk BTEC Registrations on Edexcel Online,eLearning,5/6/25 15:08,3:00,23,1,https://support.pearson.com/uk/s/,United Kingdom
How to make bulk BTEC Registrations on Edexcel Online,eLearning,5/6/25 15:04,2:06,16,0.7,-,United Kingdom
How to make bulk BTEC Registrations on Edexcel Online,eLearning,5/6/25 15:02,1:35,14,0.61,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 15:11,13:12,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 14:53,0:51,16,0.23,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 14:51,0:14,5,0.34,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 14:52,1:33,3,0.08,-,United Kingdom
How to make individual BTEC Registrations on Edexcel Online,eLearning,5/6/25 14:57,8:11,28,1,https://support.pearson.com/uk/s/,United Kingdom
Downloading BTEC basedata on Edexcel Online,KB,5/6/25 14:49,0:42,12,1,https://support.pearson.com/uk/s/,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 14:51,5:39,71,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 14:52,7:34,5,0.13,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 14:44,0:46,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Downloading BTEC basedata on Edexcel Online,eLearning,5/6/25 14:45,11:38,12,1,https://support.pearson.com/uk/s/,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 14:31,0:22,3,0.2,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 14:30,0:04,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 14:21,1:14,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 14:13,1:07,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Functional Skills: How to claim SL&C achievement for learners on Edexcel Online,KB,5/6/25 14:10,1:06,18,1,https://support.pearson.com/uk/s/,United Kingdom
Transferring learner registrations on Edexcel Online,KB,5/6/25 14:09,0:55,16,1,https://support.pearson.com/uk/s/,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 14:07,0:02,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 14:26,30:11:00,39,1,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:50,0:03,2,0.14,-,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 13:47,0:26,11,0.16,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:47,0:40,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 13:46,1:26,43,0.86,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:46,4:44,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Functional Skills: How to make individual registrations on Edexcel Online,KB,5/6/25 13:42,1:35,27,1,https://support.pearson.com/uk/s/,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:40,0:11,5,0.34,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:38,1:08,12,0.8,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:37,0:16,5,0.34,-,United Kingdom
BTEC Tech Award (2022) Submitting a cash-in through Edexcel Online,Default,5/6/25 13:33,0:51,10,1,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 13:31,0:13,3,0.06,-,United Kingdom
Returning a request and returning a specific submission within a request to the centre LWA Examination/Moderation,KB,5/6/25 13:31,0:26,4,0.17,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,United Kingdom
Functional Skills: How to claim SL&C achievement for learners on Edexcel Online,KB,5/6/25 14:58,1:28:17,18,1,https://support.pearson.com/uk/s/,United Kingdom
Returning a request and returning a specific submission within a request to the centre LWA Examination/Moderation,KB,5/6/25 13:29,1:17,14,0.59,-,United Kingdom
Uploading Administration Material LWA Examination/Moderation,KB,5/6/25 15:06,1:41:39,5,0.32,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 13:23,0:13,4,0.08,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:28,7:33,13,0.87,-,United Kingdom
How to make bulk BTEC Registrations on Edexcel Online,KB,5/6/25 13:20,0:09,6,0.27,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 13:19,1:16,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Returning a request and returning a specific submission within a request to the centre LWA Examination/Moderation,KB,5/6/25 13:39,37:57:00,23,0.96,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,United Kingdom
Logging in & navigating LWA Examination/Moderation,KB,5/6/25 12:59,0:56,16,0.95,-,United Kingdom
Logging in & navigating LWA Examination/Moderation,KB,5/6/25 13:13,23:51,4,0.24,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 12:39,0:01,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 12:44,5:34,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Managing Requests LWT Moderation,KB,5/6/25 12:28,0:23,2,0.03,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 12:27,0:43,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,Portugal
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 12:26,0:03,2,0.14,-,Portugal
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 12:25,0:42,16,0.32,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 12:28,5:06,50,1,-,Australia
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 12:21,0:38,3,0.06,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 12:40,20:27,13,0.34,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 12:21,1:13,38,0.98,-,United Kingdom
Functional Skills: How to access on-demand test results on Edexcel Online,KB,5/6/25 12:19,0:00,2,0.14,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 12:19,0:51,35,0.7,-,United Kingdom
"Digital FS Portal, Pearson Assessor Dashboard (PAD) and Data Files - Test Walkthrough",KB,5/6/25 12:17,3:27,22,0.27,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 12:13,0:23,5,0.13,-,United Kingdom
Transferring learner registrations on Edexcel Online,KB,5/6/25 12:12,0:25,13,0.82,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 12:18,13:39,50,1,-,United Kingdom
Transferring learner registrations on Edexcel Online,KB,5/6/25 12:05,1:09,7,0.44,-,United Kingdom
Functional Skills: How to make individual registrations on Edexcel Online,KB,5/6/25 12:05,2:41,27,1,https://support.pearson.com/uk/s/,United Kingdom
Functional Skills: How to make individual registrations on Edexcel Online,KB,5/6/25 12:02,4:31,27,1,https://support.pearson.com/uk/s/,United Kingdom
Transferring learner registrations on Edexcel Online,KB,5/6/25 11:58,6:52,14,0.88,-,United Kingdom
Functional Skills: How to book a test on Edexcel Online,KB,5/6/25 11:45,1:13,22,1,https://support.pearson.com/uk/s/,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 11:38,8:07,50,1,-,Bulgaria
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 12:01,30:30:00,2,0.06,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 11:29,0:02,2,0.04,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 11:32,5:39,39,1,-,Bulgaria
Managing Requests LWT Examination,KB,5/6/25 12:36,1:16:08,35,0.5,-,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 11:19,0:03,2,0.03,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 11:21,2:24,12,0.8,-,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 11:16,0:11,2,0.03,-,United Kingdom
How to make individual BTEC Registrations on Edexcel Online,KB,5/6/25 11:14,4:12,19,0.68,https://support.pearson.com/uk/s/,United Kingdom
Updating tags in the VQ Learner Tracker,KB,5/6/25 12:43,1:34:17,4,0.34,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 11:15,7:25,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Downloading BTEC basedata on Edexcel Online,KB,5/6/25 11:05,0:11,4,0.34,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 11:11,6:49,3,0.08,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 10:58,1:17,20,0.4,-,United Kingdom
How to make individual BTEC Registrations on Edexcel Online,KB,5/6/25 10:53,1:39,26,0.93,-,United Kingdom
Development Hub Walkthrough,Default,5/6/25 10:44,0:07,3,0.12,-,Bahrain
Edexcel Online Account Confirmation and Terms & Conditions - UK Centre's offering General Qualifications only or International Centre's offering Vocational and/ or General qualifications,Default,5/6/25 10:44,5:20,17,0.78,-,Myanmar
Transferring learner registrations on Edexcel Online,KB,5/6/25 10:32,2:09,16,1,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 10:25,0:20,9,0.18,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 10:23,0:58,29,0.75,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 10:04,0:03,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 10:03,0:08,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 9:54,2:03,8,0.54,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 9:51,0:13,2,0.06,-,United Kingdom
Creating Edexcel Online Accounts,Default,5/6/25 9:47,0:18,4,0.16,-,Ghana
Transferring learner registrations on Edexcel Online,KB,5/6/25 9:58,11:33,16,1,https://support.pearson.com/uk/s/,United Kingdom
Transferring learner registrations on Edexcel Online,KB,5/6/25 10:14,27:24:00,2,0.13,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 9:43,0:13,3,0.06,-,Denmark
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 9:41,3:15,50,1,-,Japan
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 9:38,0:05,5,0.1,-,Denmark
Functional Skills: How to book a test on Edexcel Online,KB,5/6/25 11:07,1:30:21,22,1,-,United Kingdom
How to delete BTEC registrations on Edexcel Online,KB,5/6/25 9:34,1:07,15,1,https://support.pearson.com/uk/s/,Sri Lanka
Functional Skills: How to book a test on Edexcel Online,KB,5/6/25 9:32,0:12,6,0.28,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 9:37,7:08,39,1,-,Japan
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 9:35,11:05,50,1,-,Japan
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 9:20,0:11,5,0.1,-,Denmark
Uploading Administration Material LWA Examination/Moderation,KB,5/6/25 9:18,0:52,2,0.13,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 9:16,0:03,2,0.14,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 9:14,0:58,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 9:14,2:15,39,1,-,Philippines
How to delete BTEC registrations on Edexcel Online,KB,5/6/25 8:58,0:27,5,0.34,-,United Kingdom
Managing Requests LWT Examination,KB,5/6/25 9:00,2:28,9,0.13,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 9:03,8:37,40,0.8,-,The Netherlands
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 8:58,3:40,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 8:58,10:13,50,1,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 8:48,2:40,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 8:44,0:46,5,0.34,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 8:37,0:07,3,0.08,-,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 8:33,0:13,2,0.06,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 8:33,0:14,6,0.12,-,The Netherlands
VQ Learner Tracker Interactive Guide,KB Link,5/6/25 8:28,0:01,1,0.03,-,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 8:35,11:14,50,1,-,India
Managing Requests LWT Examination,KB,5/6/25 8:24,0:21,10,0.15,-,United Kingdom
Logging in & navigating LWT Examination/Moderation,KB,5/6/25 8:23,1:36,15,1,https://support.pearson.com/uk/s/article/Learner-Work-Transfer-LWT,United Kingdom
Remote Invigilation Service - ProctorExam Onscreen Test Set-Up Guide,Default,5/6/25 8:18,0:29,39,1,-,Japan
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 8:16,1:26,25,0.5,-,Germany
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 8:22,7:19,50,1,-,Romania
Uploading Administration Material LWA Examination/Moderation,KB,5/6/25 7:48,2:10,16,1,https://support.pearson.com/uk/s/article/Learner-Work-Assessment-LWA,United Kingdom
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 7:41,0:50,3,0.06,-,Japan
Remote Invigilation Service - ProctorExam Paper Based Set-Up Guide,Default,5/6/25 9:20,1:52:18,17,0.34,-,United Kingdom
