Course,Enrollment Date (UTC TimeZone),Started Date (UTC TimeZone),Completion Date (UTC TimeZone),Status,Progress %,Time Spent(minutes),Quiz_score,Centre Number,Centre Country,Completion Comment
Welcome to Pearson - New to role Exams Officer ,9/19/24 12:43,9/19/24 12:43,,In Progress,7.14,70.6,,33655D,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 10:50,,,Not Started,0,0,,93769,Portugal,
BTEC Tech Awards - understanding the terminal rule and certification,9/24/24 13:32,9/24/24 13:32,9/24/24 13:32,Completed,100,0.03,,44115,UK,
Exams Officer UK Webinar - October 17 2024,9/24/24 13:32,,,Not Started,0,0,,44115,UK,
Exams Officer UK Webinar - September 26 2024,9/24/24 13:31,,,Not Started,0,0,,44115,UK,
Exams Officer UK Webinar - May 1st 2025,4/29/25 8:13,,,Not Started,0,0,,42304,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,9/20/24 11:47,9/20/24 11:47,9/23/24 10:20,Completed,100,124.9,,33655D,UK,
Exams Officer UK Webinar - June 12th 2025,4/4/25 8:51,,,Not Started,0,0,,97162,Spain,
GQ Bitesize (UK) NEA Mark Submission 2024/2025,4/4/25 8:52,4/4/25 8:52,4/4/25 9:27,Completed,100,34.53,30,97162,Spain,
International Exams Officer Webinar - 12 December 2024,12/5/24 13:54,,,Not Started,0,0,,97162,Spain,
Recording of the Exams Officer International Webinar - October 24 2024,12/5/24 13:53,1/9/25 13:26,1/9/25 13:26,Completed,100,0.72,,97162,Spain,
ResultsPlus: Accessing individual student results,1/9/25 13:27,1/9/25 13:28,,In Progress,0,17.3,,97162,Spain,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 12:14,,,Not Started,0,0,,97162,Spain,
Welcome to Pearson - New to role Exams Officer (International),12/9/24 18:52,12/9/24 18:52,,In Progress,7.69,0.03,,97162,Spain,
International Exams Officer Webinar - 12 December 2024,12/10/24 4:33,,,Not Started,0,0,,95537,Vietnam,
Recording of Understanding Modular Cash in Codes and Entries for Pearson International GCSE Live event,5/12/25 1:45,5/12/25 1:45,,In Progress,33.33,420.88,,95537,Vietnam,
Recording of the Exams Officer International Webinar - October 24 2024,10/19/24 0:48,,,Not Started,0,0,,95537,Vietnam,
Exams Officer UK Webinar - 16 January 2025,1/14/25 9:57,,,Not Started,0,0,,43406B,UK,
Exams Officer UK Webinar - March 13 2025,3/11/25 11:43,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,43406B,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - October 17 2024,9/30/24 15:32,,,Not Started,0,0,,43406B,UK,
Exams Officer UK Webinar - September 26 2024,9/24/24 9:07,,,Not Started,0,0,,43406B,UK,
Recording of Exams Officer UK Webinar - September 2024,1/14/25 9:58,,,Not Started,0,0,,43406B,UK,
GQ Bitesize (UK) Exam Administration 2024/2025,10/31/24 12:38,,,Not Started,0,0,,,UK,
GQ Bitesize (UK) Question Paper Security 2024/2025,10/31/24 12:39,,,Not Started,0,0,,,UK,
Cohort Declaration walkthrough,1/20/25 10:13,1/20/25 10:13,,In Progress,50,1.5,,41123,UK,
International Exams Officer Webinar - 12 December 2024,12/11/24 7:04,,,Not Started,0,0,,95886,Thailand,
Recording of the EO International Webinar - 13 February 2025,1/25/25 6:35,,,Not Started,0,0,,95886,Thailand,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/6/25 1:27,,,Not Started,0,0,,95886,Thailand,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 10:09,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,44101A,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,44101A,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Exams Officer UK Webinar - 12 December 2024,10/10/24 8:39,,,Not Started,0,0,,48317,UK,
Exams Officer UK Webinar - November 14 2024,10/10/24 8:37,,,Not Started,0,0,,48317,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 8:33,,,Not Started,0,0,,48317,UK,
Exams Officer UK Webinar - September 26 2024,9/13/24 8:15,,,Not Started,0,0,,48317,UK,
Exams Officer UK Webinar - April 3rd 2025,3/21/25 7:28,,,Not Started,0,0,,13160,UK,
Exams Officer UK Webinar - March 13 2025,2/14/25 9:16,,,Not Started,0,0,,13160,UK,
Exams Officer UK Webinar - May 1st 2025,4/4/25 9:59,,,Not Started,0,0,,13160,UK,
Exams Officer UK Webinar - November 14 2024,10/25/24 8:37,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,13160,UK,
Exams Officer UK Webinar - September 26 2024,9/13/24 9:20,,,Not Started,0,0,,13160,UK,
Exams Officer UK Webinar - March 13 2025,3/11/25 12:36,,,Not Started,0,0,,13411,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 15:49,,,Not Started,0,0,,13305,UK,
GQ Bitesize (UK) Module 7: Getting ready for results 2022/2023,6/13/23 7:27,4/24/25 10:43,,In Progress,0,0,0,12258,UK,
Centre Declaration of Interest,10/24/24 8:09,10/24/24 8:09,10/24/24 8:09,Completed,100,12.08,,12532,UK,
Exams Officer UK Webinar - 12 December 2024,10/10/24 13:18,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,12532,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:54,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,12532,UK,attended live event
Exams Officer UK Webinar - November 14 2024,10/10/24 13:18,,,Not Started,0,0,,12532,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 13:18,,,Not Started,0,0,,12532,UK,
Recording of Exams Officer UK Webinar - December 2024,1/27/25 16:45,1/27/25 16:45,,In Progress,0,10.22,,12532,UK,
Recording of Exams Officer UK Webinar - October 2024,10/24/24 8:22,10/24/24 8:22,10/24/24 10:04,Completed,100,40,,12532,UK,
Recording of Exams Officer UK Webinar - September 2024,10/24/24 8:22,10/24/24 8:22,10/24/24 9:02,Completed,100,58,,12532,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/9/25 12:54,,,Not Started,0,0,,12532,UK,
ResultsPlus: Accessing individual student results,1/27/25 16:44,1/27/25 16:44,,In Progress,0,11.08,,12532,UK,
,5/22/23 8:35,5/6/25 14:14,5/8/25 10:46,Completed,100,2170.7999999999997,170,12669,UK,
BTEC Bitesize Module 1: Intro to BTEC (2022/23),5/22/23 8:35,5/6/25 14:14,5/6/25 14:50,Completed,100,72.08,40,12669,UK,
BTEC Bitesize Module 2: Registrations (2022/23),5/22/23 8:35,5/6/25 14:51,5/7/25 10:08,Completed,100,1681.27,30,12669,UK,
BTEC Bitesize Module 3: Entries & External Assessments (2022/23),5/22/23 8:35,5/7/25 10:13,5/7/25 11:00,Completed,100,47.63,30,12669,UK,
BTEC Bitesize Module 8: Making Claims (BTEC Results) (2022/23),5/22/23 8:35,5/7/25 11:02,5/7/25 15:30,Completed,100,154.8,40,12669,UK,
BTEC Bitesize Module 9: Eligibility (2022/23),5/22/23 8:35,5/8/25 9:18,5/8/25 10:46,Completed,100,215.02,30,12669,UK,
Exams Officer UK Webinar - May 1st 2025,4/17/25 9:52,,,Not Started,0,0,,12669,UK,
GQ Bitesize (UK) Exam Administration 2024/2025,4/17/25 9:53,5/9/25 13:34,5/9/25 13:50,Completed,100,15.4,30,12669,UK,
GQ Bitesize (UK) Question Paper Security 2024/2025,5/2/25 8:29,5/9/25 11:37,5/9/25 13:32,Completed,100,122.73,40,12669,UK,
Welcome to Pearson - New to role Exams Officer ,4/17/25 9:53,5/6/25 13:46,5/9/25 11:35,Completed,100,4293.11,,12669,UK,
BTEC Tech Award  - Understanding the terminal rule,11/27/24 14:38,11/27/24 14:38,11/27/24 14:38,Completed,100,1.82,,12706,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:46,,,Not Started,0,0,,12204,UK,
Exams Officer UK Webinar - April 3rd 2025,3/20/25 11:41,,,Not Started,0,0,,12204,UK,
Exams Officer UK Webinar - November 14 2024,10/24/24 8:31,,,Not Started,0,0,,12204,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 9:04,,,Not Started,0,0,,12204,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 8:12,,,Not Started,0,0,,12204,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:14,,,Not Started,0,0,,12917,UK,
Exams Officer UK Webinar - November 14 2024,11/6/24 14:19,,,Not Started,0,0,,12432,UK,
GQ Bitesize (UK) Module 7: Getting ready for results 2022/2023,6/13/23 7:27,10/3/24 12:58,,In Progress,0,0.28,,10736,UK,
Exams Officer UK Webinar - 12 December 2024,10/9/24 14:41,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 14:37,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - April 3rd 2025,2/27/25 15:36,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - June 12th 2025,2/27/25 15:38,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - March 13 2025,1/9/25 14:38,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - May 1st 2025,2/27/25 15:37,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - November 14 2024,10/9/24 14:41,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - October 17 2024,10/9/24 14:40,,,Not Started,0,0,,12912,UK,
Exams Officer UK Webinar - September 26 2024,9/25/24 14:28,,,Not Started,0,0,,12912,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/9/25 14:38,,,Not Started,0,0,,12912,UK,
BTEC Bitesize Module 13: Post-Results Services (2023/24),9/19/24 8:45,9/19/24 8:45,,In Progress,0,9.9,0,12412,UK,
BTEC Tech Awards - understanding the terminal rule and certification,10/4/24 14:29,10/4/24 14:29,10/4/24 14:29,Completed,100,4.02,,12412,UK,
Recording of Exams Officer UK Webinar - September 2024,10/4/24 13:57,10/4/24 13:57,10/4/24 14:16,Completed,100,26.23,,12412,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:44,,,Not Started,0,0,,11034,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 11:39,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,12764,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/29/25 11:33,1/29/25 11:33,1/29/25 11:33,Completed,100,162.83,,13140,UK,
Exams Officer UK Webinar - April 3rd 2025,4/1/25 11:08,,,Not Started,0,0,,13140,UK,
Centre Declaration of Interest,11/6/24 11:23,11/6/24 11:23,11/6/24 11:23,Completed,100,223.2,,12726,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:32,,,Not Started,0,0,,12938,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 11:21,,,Not Started,0,0,,12938,UK,
,7/2/24 13:53,11/14/24 14:27,,In Progress,0,0,,12386,UK,
BTEC Bitesize Module 10: Eligibility (2023/24),7/2/24 13:53,,,Not Started,0,0,,12386,UK,
BTEC Bitesize Module 9 - Making Claims (BTEC Results Reporting) (2023/24),7/2/24 13:53,11/14/24 14:27,,In Progress,0,0,,12386,UK,
Exams Officer UK Webinar - March 13 2025,3/12/25 10:13,,,Not Started,0,0,,12386,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 18:54,,,Not Started,0,0,,12386,UK,
Exams Officer UK Webinar - 16 January 2025,1/14/25 13:21,,,Not Started,0,0,,12112,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 10:10,,,Not Started,0,0,,12112,UK,
Recording of Exams Officer UK Webinar - January 2025,3/10/25 15:30,3/10/25 15:30,,In Progress,0,7.07,,12112,UK,
Exams Officer UK Webinar - 12 December 2024,11/5/24 12:32,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,10571,UK,
BTEC Bitesize Module 9 - Making Claims (BTEC Results Reporting) (2023/24),6/5/24 9:37,6/5/24 9:37,,In Progress,0,0.73,0,46101,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 10:10,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,46101,UK,Attended live event
BTEC Bitesize: BTEC Amendments (2024/25),10/31/24 11:12,10/31/24 11:12,,In Progress,0,11.87,,,UK,
GQ Bitesize (UK) Amendments & Eligibility  2024/2025,10/31/24 10:31,10/31/24 10:31,,In Progress,0,1.37,,,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Exams Officer UK Webinar - 12 December 2024,11/25/24 9:00,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,46129,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 13:20,,,Not Started,0,0,,46129,UK,
Exams Officer UK Webinar - March 13 2025,2/28/25 10:03,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,46129,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - October 17 2024,10/10/24 7:41,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,46129,UK,
Exams Officer UK Webinar - September 26 2024,9/13/24 10:42,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,46129,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Exams Officer UK Webinar - April 3rd 2025,4/1/25 9:59,,,Not Started,0,0,,40627,UK,
Exams Officer UK Webinar - 12 December 2024,11/11/24 14:43,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,40509,UK,
Exams Officer UK Webinar - April 3rd 2025,2/27/25 15:33,,,Not Started,0,0,,40509,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:53,,,Not Started,0,0,,40509,UK,
Exams Officer UK Webinar - November 14 2024,11/11/24 14:44,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,40509,UK,
Exams Officer UK Webinar - September 26 2024,9/13/24 7:14,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,40509,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Edexcel Online: Late Cash-in process,9/17/24 16:58,,,Not Started,0,0,,94660,Maldives,
ResultsPlus: Accessing individual student results,9/17/24 16:59,,,Not Started,0,0,,94660,Maldives,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
International Exams Officer Webinar - 12 December 2024,12/9/24 3:30,,,Not Started,0,0,,95075,United Arab Emirates,
Recording of the EO International Webinar - 13 February 2025,1/29/25 4:28,,,Not Started,0,0,,95481,Qatar,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 7:07,,,Not Started,0,0,,94812,China,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
